,Symbol,Date,Price
704,ADP,2008-09-30,38.620343619
705,ADP,2008-10-31,31.0233994783
706,ADP,2008-11-30,31.3220279474
707,ADP,2008-12-31,33.3590066818
708,ADP,2009-01-31,33.74758535
709,ADP,2009-02-28,32.3201329474
710,ADP,2009-03-31,30.8316706818
711,ADP,2009-04-30,31.268447619
712,ADP,2009-05-31,31.9227394
713,ADP,2009-06-30,32.1829357273
714,ADP,2009-07-31,31.0687207727
715,ADP,2009-08-31,33.5687111905
716,ADP,2009-09-30,34.127680619
717,ADP,2009-10-31,35.108947
718,ADP,2009-11-30,37.7791924
719,ADP,2009-12-31,37.8414075455
720,ADP,2010-01-31,36.898942
721,ADP,2010-02-28,36.0819743684
722,ADP,2010-03-31,38.457075
723,ADP,2010-04-30,39.0170992857
724,ADP,2010-05-31,36.5741881
725,ADP,2010-06-30,36.2642666364
726,ADP,2010-07-31,36.004849381
727,ADP,2010-08-31,35.3080853182
728,ADP,2010-09-30,36.0303520952
729,ADP,2010-10-31,37.709352619
730,ADP,2010-11-30,39.7433004286
731,ADP,2010-12-31,40.9086917727
732,ADP,2011-01-31,42.5074629
733,ADP,2011-02-28,43.3847790526
734,ADP,2011-03-31,44.0069472174
735,ADP,2011-04-30,46.2467077
736,ADP,2011-05-31,47.4012291429
737,ADP,2011-06-30,46.1026424545
738,ADP,2011-07-31,46.7453905
739,ADP,2011-08-31,42.1269608261
740,ADP,2011-09-30,42.7559682381
741,ADP,2011-10-31,44.4922446667
742,ADP,2011-11-30,44.386471
743,ADP,2011-12-31,46.1557760952
744,ADP,2012-01-31,48.7010534
745,ADP,2012-02-29,47.7203685
746,ADP,2012-03-31,48.2795912273
747,ADP,2012-04-30,48.36172065
748,ADP,2012-05-31,46.7690955455
749,ADP,2012-06-30,47.2929471429
750,ADP,2012-07-31,49.1922740476
751,ADP,2012-08-31,50.6466390435
752,ADP,2012-09-30,51.357608
753,ADP,2012-10-31,51.416865
754,ADP,2012-11-30,49.1002964762
755,ADP,2012-12-31,50.39157165
756,ADP,2013-01-31,52.1012582857
757,ADP,2013-02-28,53.3935587368
758,ADP,2013-03-31,56.0070234
759,ADP,2013-04-30,57.5085802727
760,ADP,2013-05-31,61.2926012273
761,ADP,2013-06-30,60.261633
762,ADP,2013-07-31,63.0964161818
763,ADP,2013-08-31,63.1810198636
764,ADP,2013-09-30,64.4122035
765,ADP,2013-10-31,64.4104288261
766,ADP,2013-11-30,68.14837565
767,ADP,2013-12-31,69.5396965238
768,ADP,2014-01-31,69.4978880952
769,ADP,2014-02-28,66.5819508947
770,ADP,2014-03-31,68.1399715238
771,ADP,2014-04-30,66.7532095238
772,ADP,2014-05-31,68.631631381
773,ADP,2014-06-30,69.3599235714
774,ADP,2014-07-31,71.1293804091
775,ADP,2014-08-31,72.3178219524
776,ADP,2014-09-30,73.2434462857
777,ADP,2014-10-31,74.5613034783
778,ADP,2014-11-30,84.5099997895
779,ADP,2014-12-31,84.8272725909
780,ADP,2015-01-31,84.4394997
781,ADP,2015-02-28,87.4168418947
782,ADP,2015-03-31,86.5240900909
783,ADP,2015-04-30,85.4871422857
784,ADP,2015-05-31,86.6475003
785,ADP,2015-06-30,83.7972731364
786,ADP,2015-07-31,81.1727273636
787,ADP,2015-08-31,80.4904763333
788,ADP,2015-09-30,78.5200002381
789,ADP,2015-10-31,86.1877278636
790,ADP,2015-11-30,86.6730002
791,ADP,2015-12-31,85.5699996364
792,ADP,2016-01-31,79.8805256316
793,ADP,2016-02-29,83.4230004
794,ADP,2016-03-31,87.5127269091
795,ADP,2016-04-30,89.9404765714
796,ADP,2016-05-31,86.98238
797,ADP,2016-06-30,88.0172729545
798,ADP,2016-07-31,94.25449935
799,ADP,2016-08-31,89.5708697391
800,ADP,2016-09-30,88.2757138571
801,ADP,2016-10-31,87.2066661429
802,ADP,2016-11-30,92.9466661429
803,ADP,2016-12-31,99.752857
804,ADP,2017-01-31,102.78949975
805,ADP,2017-02-28,98.9515794737
806,ADP,2017-03-31,103.819564522
807,ADP,2017-04-30,102.698947263
808,ADP,2017-05-31,99.2877273182
809,ADP,2017-06-30,101.657499
